old.area.rank,code.ministry,code.smis,code.percode,name.th,name.en,principal,class,network,village,tambon,amphoe,province,postcode,email,website,administration,tel,fax,est,dist.toarea,dist.toamphoe,size,electricity,number.teachers,number.students,number.classrooms,updated,old.area.code,province.code,new.area.code,region,province.name,new.area.name,count.principal,count.viceprincipal,count.teacher,count.assistant,count.empperm,count.staff,count.emptemp,sum.execs,sum.teachers,time.staffdataretrieved
20,1010720120,10012035,720120,โยธินบูรณะ ๒ (สุวรรณสุทธาราม),yothinborana2(suwanttharam),นายเจนการณ์ เพียงปราชญ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1 279 ถ.กรุงเทพ-นนทบุรี,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800,,ssw.ac.th,บางซื่อ,"025870978, 0258",025856592,26 มีนาคม 2522,30,6,m,y,41,367,20,18 ธันวาคม 2561 เวลา 14:42:46 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,19,7,4,0,10,1,26,2021-07-09 03:30:58.557392
21,1010720121,10012036,720121,ราชนันทาจารย์สามเสนวิทยาลัย 2,RATCHANANTACHAN SAMSENWITTAYALAI2,นางเพลินใจ พฤกษชาติรัตน์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 16,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800,,www.samsen2.ac.th,1,029593747-8 ต,02-9593751,2538,40,2,l,y,93,1433,45,22 มิถุนายน 2562 เวลา 10:52:32 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,2,55,24,0,0,11,3,79,2021-07-09 03:30:59.186888
22,1010720134,10012039,720134,ศรีอยุธยา ในพระอุปถัมภ์ฯ,sriayudhya,นายกิตติศักดิ์ สมพล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 497 ถนนศรีอยุธยา,ถนนพญาไท,เขตราชเทวี,กรุงเทพมหานคร,10400,Ayudhya_sri@hotmail.com,www.sriayudhya.ac.th,ราชเทวี,"022451717, 0224",022456102,20 ธันวาคม 2494,1,2,x,y,157,2990,72,11 กรกฎาคม 2556 เวลา 07:29:10 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,2,124,13,8,1,7,3,137,2021-07-09 03:30:59.826668
23,1010720135,10012040,720135,สันติราษฎร์วิทยาลัย,Santirawitthayalai School,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 332,ทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,10400,santirat@str.ac.th,www.str.ac.th,ราชเทวี,"Fax.023544991,",023544996,2470,0.10,0.20,x,y,126,1818,58,27 พฤศจิกายน 2561 เวลา 10:41:10 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,0,3,77,17,6,1,21,3,94,2021-07-09 03:31:00.450051
24,1010720136,10012041,720136,มักกะสันพิทยา,Makkasan Pittaya school,นายอาวุทธ์ มีขันเพชร,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 846/17 -,มักกะสัน,เขตราชเทวี,กรุงเทพมหานคร,10400,makkasan2019@gmail.com,www.makkasan.ac.th,1,022528642,022514383,1 กันยายน 2519,2,3,m,y,38,235,15,22 กุมภาพันธ์ 2562 เวลา 23:05:34 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,13,10,6,0,8,1,23,2021-07-09 03:31:01.009581
25,1010720076,10032001,720076,ศึกษานารี,Suksanari,นายขจิตพันธ์ สุวรรณสิริภักดิ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 176 ถ.ประชาธิปก,,เขตธนบุรี,กรุงเทพมหานคร,10600,-,www.snr.ac.th,ธนบุรี,0-2466-7223,024662182,29/11/2442,15,5,x,y,164,3270,79,06 เมษายน 2558 เวลา 01:14:13 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,5,128,30,0,0,0,6,158,2021-07-09 03:31:01.640333
26,1010720080,10032002,720080,ทวีธาภิเศก,TAWEETHAPISEK,นายประจวบ อินทรโชติ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 505/5 ซ.อิสรภาพ 42,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,10600,taweetha@thaimail.com,www.taweethapisek.ac.th,บางกอกใหญ่,0-2465-0114,024660690,19/07/2441,20,10,x,y,150,2563,72,02 กรกฎาคม 2560 เวลา 03:31:24 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,3,3,93,27,5,0,12,6,120,2021-07-09 03:31:02.308411
27,1010720085,10032003,720085,สุวรรณพลับพลาพิทยาคม,suwanplubplapittayakom school,นายสุวพันธ์ ผลวงศ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 94,บางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,10170,plubpla23@gmail.com,www.swpp.ac.th,ตลิ่งชัน,024182911,024182911,23 มีนาคม 2492,6,6,l,y,63,610,27,29 มิถุนายน 2562 เวลา 21:00:06 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,23,11,1,1,19,1,34,2021-07-09 03:31:02.900504
28,1010720077,10032004,720077,วัดอินทาราม,WatIntharam School,นางธัญจิรา โชติพงศ์กุล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่,บางยี่เรือ,เขตธนบุรี,กรุงเทพมหานคร,10600,intaram@gmail.com,www.ir.ac.th,ธนบุรี,0-2465-3310,024722771,18 กุมภาพันธ์ 2506,,,l,y,82,1429,51,12 ธันวาคม 2563 เวลา 12:43:11 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,64,1,4,0,12,1,65,2021-07-09 03:31:03.511317
29,1010720081,10032005,720081,วัดประดู่ในทรงธรรม,Watpradoonaisongtham,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 1160/3 ซ.เพชรเกษม 15,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,10600,pradoonai@hotmail.com,www.pradoonai.ac.th,สพม.1,0-2457-9830,024574437,16 พฤษภาคม พ.ศ 2497,19,1,m,y,36,430,20,16 พฤศจิกายน 2561 เวลา 10:29:31 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,0,0,14,13,5,0,3,0,27,2021-07-09 03:31:04.104642
30,1010720086,10032006,720086,ทีปังกรวิทยาพัฒน์(วัดน้อยใน)ในพระราชูปถัมภ์ฯ,Dipangkornwittayapat (Wat-Noi-Nai) Under the Royal Patronage School,นายสุริยันต์ เหล่ามะลึก,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 12,ตลิ่งชัน,เขตตลิ่งชัน,กรุงเทพมหานคร,10170,dp2watnoinaidp@gmail.com,dpwatnoinai.ac.th/,ตลิ่งชัน,024247882,024243048,02/02/2497,13.8,7.9,l,y,49,665,30,23 กรกฎาคม 2563 เวลา 11:47:08 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,31,4,3,0,8,2,35,2021-07-09 03:31:04.677668
31,1010720078,10032007,720078,มัธยมวัดดาวคนอง,Matthayom Watdaokhanong,นางสาวฐาปณี พวงงาม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0,ดาวคะนอง,เขตธนบุรี,กรุงเทพมหานคร,10600,daokhanong@mdn.com,mdn.ac.th,ธนบุรี,0-2468-2163,024601220,2504,20,10,m,y,35,353,17,01 กรกฎาคม 2562 เวลา 12:24:58 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,13,10,1,0,10,1,23,2021-07-09 03:31:05.269852
32,1010720082,10032008,720082,ฤทธิณรงค์รอน,Ritthinarongron School,นายวีระชัย บุญอยู่,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - -,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,10600,ritthi_school@hotmail.com,www.nr.ac.th,บางกอกใหญ่,0-2465-4580,024657893,2510,8,2,l,y,50,689,28,24 เมษายน 2562 เวลา 11:18:02 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,25,9,4,0,7,1,34,2021-07-09 03:31:05.871368
33,1010720087,10032009,720087,โพธิสารพิทยากร,POTISARNPITAYAKORN,ดร.ภูมิสิษฐ์ สุคนธวงศ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 120,บางระมาด,เขตตลิ่งชัน,กรุงเทพมหานคร,10170,potisarn@ps.ac.th,ps.ac.th,ตลิ่งชัน,0-2448-6130,024487108,2499,,,x,y,168,2655,66,31 มกราคม 2563 เวลา 17:19:44 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,3,99,31,0,0,33,4,130,2021-07-09 03:31:06.510655
34,1010720079,10032010,720079,ธนบุรีวรเทพีพลารักษ์,Woratapee Palarak School,นายชนินทร์ คะอังกุ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 131/1-2,ตลาดพลู,เขตธนบุรี,กรุงเทพมหานคร,10600,thonburee@hotmail.com,www.thonburee.ac.th/,,0-2465-5976,0-2466-0642,6 ธันวาคม 2525,13.5,1.6,m,y,29,469,24,27 มิถุนายน 2562 เวลา 10:49:10 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,27,0,0,0,0,2,27,2021-07-09 03:31:07.068410
35,1010720088,10032011,720088,อุบลรัตนราชกัญญาราชวิทยาลัย กรุงเทพมหานคร,Princess Ubolratana Rajakanya's College,นายภิญญา รัตนวรชาติ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1,บางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,10170,,www.purcbkk.ac.th,สพม.เขต1,0-2410-7803,024107472,06/06/2496,8,7,m,y,39,508,18,30 พฤษภาคม 2561 เวลา 14:30:58 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,12,12,2,0,2,1,24,2021-07-09 03:31:07.618909
36,1010720089,10032012,720089,มหรรณพาราม,Mahannaparam School,นายวิจิตร สมบัติวงศ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 2 68/5,ฉิมพลี,เขตตลิ่งชัน,กรุงเทพมหานคร,10170,paramschool@hotmail.com,http://www.mh.ac.th,เขต 1,0-2448-6614,024486482,2516,7,2,l,y,86,1263,36,26 ธันวาคม 2562 เวลา 14:39:50 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,53,9,7,2,13,1,62,2021-07-09 03:31:08.293847
37,1010720090,10032013,720090,ชิโนรสวิทยาลัย,Chinorotwittayalai School,นางอมรรัตน์ โพธิตะปะนะ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 45 ถ.อิสรภาพ,บ้านช่างหล่อ,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,chinorot@thaimail.com,www.chinorot.ac.th,บางกอกน้อย,0-2866-1882,024121159,11 ธันวาคม พ.ศ. 2444,8.3,3.2,x,y,103,1950,69,01 มกราคม 2563 เวลา 20:38:00 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,84,12,1,0,0,2,96,2021-07-09 03:31:08.909987
38,1010720091,10032014,720091,สตรีวัดระฆัง,Satri Wat Rakhang,นางสาววิมลนาถ บัวแก้ว,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 248/9,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,Srmail@bell.sr.ac.th,http://www.sr.ac.th,บางกอกน้อย,0-2412-9103,024181002,1 พ.ย. 2457,5,2,x,y,113,1731,48,25 มิถุนายน 2562 เวลา 18:52:15 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,79,10,3,0,19,2,89,2021-07-09 03:31:09.543765
39,1010720092,10032015,720092,สุวรรณารามวิทยาคม,Suwannaramwittayakom,นายจงจัด จันทบ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 0 512/1,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,nocha_spyred@hotmail.com,www.suwannaramwittayakom.com/,บางกอกน้อย,0-2424-1671,024334550,19 กุมภาพันธ์ 2449,8.5,2,x,y,86,1474,47,25 กันยายน 2562 เวลา 16:16:05 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,71,5,5,0,0,2,76,2021-07-09 03:31:10.164763
40,1010720093,10032016,720093,มัธยมวัดดุสิตาราม,Mathayom Wat Dusitaram,นายวรนันท์ ขันแข็ง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - 1/13 ถ.สมเด็จพระปิ่นเกล้า,อรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,-,www.dusitaram.ac.th,บางกอกน้อย,024244068,028831786,พ.ศ.2504,9.3,3,l,y,78,1027,36,30 กรกฎาคม 2563 เวลา 14:19:24 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,1,49,3,5,0,21,2,52,2021-07-09 03:31:10.775969
41,1010720094,10032017,720094,มัธยมวัดนายโรง,Matthayomwatnairong,นายเจนการณ์ เพียงปราชญ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 658/2 ถ.บรมราชชนนี,อรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,info@nairong.ac.th,www.nairong.ac.th,บางกอกน้อย,0-2424-1826,024336735,13 กุมภาพันธ์ 2498,300,300,l,y,77,1113,36,15 กุมภาพันธ์ 2564 เวลา 10:59:00 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,37,20,2,0,19,1,57,2021-07-09 03:31:11.413605
42,1010720095,10032018,720095,สวนอนันต์,suananun,นายจิรกร ฐาวิรัตน์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่,บ้านช่างหล่อ,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,suananun@suananun.in.th,www.suananun.ac.th,บางกอกน้อย,0-2412-1164,024121164,2506,10,10,m,y,16,224,13,21 มิถุนายน 2562 เวลา 16:42:15 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,12,3,0,0,0,1,15,2021-07-09 03:31:11.989621
43,1010720096,10032019,720096,พิทยาลงกรณ์พิทยาคม,pittayalongkron,ดร.พิสิษฐ์ ศุภวัฒน์ธนบดี,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 10 เลขที่16,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,10150,PK_school@thaimail.com,pkpk.ac.th,บางขุนเทียน,0-2452-4740,024524740,,35,15,m,y,31,328,15,28 กุมภาพันธ์ 2564 เวลา 13:12:26 น.,1,10,1,B,กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,1,0,9,11,2,1,5,1,20,2021-07-09 03:31:12.550551
